名称,営業日,住所,アクセス
EBISUBASHI珊瑚,月～土: 11:30～15:3017:30～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）日、祝日: 15:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,東京都渋谷区恵比寿１-16-18,恵比寿駅東口から454m
コーンバレー 渋谷 Corn Barley Shibuya,月～土: 15:00～23:30 （料理L.O. 22:30 ドリンクL.O. 23:00）,東京都渋谷区道玄坂１－３－６　香山ビル３～４F,渋谷駅徒歩1分⇒渋谷西口よりセブンイレブンのある、渋谷中央街モニターガードをくぐり直進。右手側ビル3Ｆになります。
MILAS ミラス 渋谷店,月～日、祝日、祝前日: 18:00～翌5:00 （料理L.O. 翌4:30 ドリンクL.O. 翌4:30）,東京都渋谷区宇田川町36-2 ノア渋谷B1,■JR渋谷駅ハチ公口徒歩５分　東急ハンズ向かい　井の頭通り沿い
恵比寿酒場 ヤミツキヤ 恵比寿駅前店,月～木、日: 11:30～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）金、土、祝前日: 11:30～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:00）祝日: 11:30～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区恵比寿西１-13-3 ROOB6 3F,恵比寿駅徒歩2分／代官山駅徒歩15分
三代目たんべえ 渋谷本店,月～金、祝前日: 15:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）土、日、祝日: 12:00～23:30 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区宇田川町30-5 jowビル8F,渋谷駅徒歩3分！SNS映メニュー多数！
HATAGAYA BAR EGG ハタガヤ バー エッグ,火～日、祝日、祝前日: 18:00～翌1:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:00）,東京都渋谷区幡ヶ谷２-13-3 第2中央ビル 203,京王新線幡ケ谷駅北口より徒歩約2分/京王線笹塚駅北口より徒歩約18分
ネオ大衆居酒屋 ボンサイ 肉横丁 渋谷店,月～日: 12:00～16:00 （料理L.O. 15:30 ドリンクL.O. 15:30）16:30～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）,東京都渋谷区宇田川町13-8 ちとせ会館2F,東京メトロ，東急渋谷駅３ａ出口より徒歩3分
くつろぎの和食個室居酒屋 響き HIBIKI 恵比寿本店,月～金、祝前日: 16:00～翌1:00 （料理L.O. 23:00 ドリンクL.O. 23:30）土、日、祝日: 12:00～翌1:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区恵比寿西１-7-3 グルマンビル 4F,JR恵比寿駅西口徒歩1分！完全個室完備。幹事様無料などお得なクーポン多数ご用意◎3H飲み放題もございます。
渋谷ガーデンパティオ,月～日、祝日、祝前日: 11:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,東京都渋谷区道玄坂１-7-10　新大宗渋谷道玄坂一丁目ビル　6F,渋谷駅西口より徒歩1分　駅からすぐ
肉イタリアン BEE HOUSE ビーハウス 渋谷本店,月～日、祝日、祝前日: 11:30～15:00 （料理L.O. 14:00 ドリンクL.O. 14:00）17:00～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,東京都渋谷区道玄坂１-5-2 SEDEビル B1F,渋谷女子会・誕生日会・飲み会・歓送迎会・宴会に大人気♪駅チカJR渋谷駅ハチ公口徒歩3分/京王井の頭線渋谷駅　徒歩2分
仁兵衛 渋谷本店,月～日、祝日、祝前日: 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区宇田川町30-5　渋谷ＪＯＷビル４階,渋谷駅徒歩1分　3時間飲み放題付き宴会コース3500円~ご用意しております。　テーブル個室・掘り炬燵個室などご用意あり
鳥道酒場 渋谷センター街1号店,月～日、祝日、祝前日: 12:00～翌5:00,東京都渋谷区宇田川町３１－３　蓬莱屋第二ビル１Ｆ,JR、東京メトロ地下鉄渋谷駅より徒歩5分！【各路線からアクセス良好 × 集合&待ち合わせも容易】
スカイテラス 渋谷店,月～日、祝日、祝前日: 11:00～16:0017:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,東京都渋谷区宇田川町28-1-8F,渋谷駅 徒歩1分
やきとり家 すみれ 渋谷宮益坂店,月～水、金、祝前日: 12:00～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）木: 12:00～14:30 （料理L.O. 14:00 ドリンクL.O. 14:00）17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 23:00）土、日、祝日: 17:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,東京都渋谷区渋谷１-8-8　新栄宮益ビルB1,渋谷駅ヒカリエ改札B5出口から徒歩7分
BRAND SHIBUYA ブランド 渋谷,月～日、祝日、祝前日: 18:00～翌6:00 （料理L.O. 翌5:00 ドリンクL.O. 翌5:30）,東京都渋谷区道玄坂２-23-13 渋谷デリタワー DELI TOWER B1F,東京メトロ，東急渋谷駅Ａ２出口より徒歩約5分/京王井の頭線 神泉駅北口より徒歩約7分
カフェ&シーシャバー Chill Collection 渋谷センター街店,月～日、祝日、祝前日: 12:00～翌7:00 （ドリンクL.O. 翌6:00）,東京都渋谷区宇田川町13-11  KN渋谷１ビル地下1階,JR渋谷駅ハチ公口より徒歩3分センター街を抜け、宇田川交番近く、アドアーズの横が当店地下入口となります。
